Model,CLS,CTX,HYB,Tokens,Window,Rank,Language,MeanSim,Family
mbert,true,false,false,500,1,3,swa,0.9716,Bantu
mbert,true,false,false,500,1,4,twi,0.9711,Kwa
mbert,true,false,false,500,1,5,kin,0.9663,Bantu
mbert,true,false,false,500,1,6,ibo,0.9636,Volta-Niger
mbert,true,false,false,500,1,7,ewe,0.9545,Kwa
mbert,true,false,false,500,1,8,sna,0.9531,Bantu
mbert,true,false,false,500,1,9,nya,0.9501,Bantu
mbert,true,false,false,500,1,10,tsn,0.9491,Bantu
mbert,true,false,false,500,1,11,bam,0.9449,Mande
mbert,true,false,false,500,1,12,zul,0.943,Bantu
mbert,true,false,false,500,1,13,fon,0.942,Kwa
mbert,true,false,false,500,1,14,hau,0.94,Chadic
mbert,true,false,false,500,1,15,pcm,0.9367,English Creole
mbert,true,false,false,500,1,16,mos,0.933,Gur
mbert,true,false,false,500,1,17,wol,0.9314,Atlantic-Congo
mbert,true,false,false,500,1,18,xho,0.9286,Bantu
mbert,true,false,false,500,1,19,bbj,0.9118,Bantu
mbert,true,false,false,500,1,20,yor,0.9011,Volta-Niger
mbert,true,false,false,400,2,1,lug,0.9832,Bantu
mbert,true,false,false,400,2,2,luo,0.9725,Nilotic
mbert,true,false,false,400,2,3,twi,0.9703,Kwa
mbert,true,false,false,400,2,4,swa,0.9701,Bantu
mbert,true,false,false,400,2,5,kin,0.966,Bantu
mbert,true,false,false,400,2,6,ibo,0.9632,Volta-Niger
mbert,true,false,false,400,2,7,tsn,0.9544,Bantu
mbert,true,false,false,400,2,8,ewe,0.9539,Kwa
mbert,true,false,false,400,2,9,sna,0.9518,Bantu
mbert,true,false,false,400,2,10,nya,0.9507,Bantu
mbert,true,false,false,400,2,11,bam,0.9432,Mande
mbert,true,false,false,400,2,12,zul,0.9404,Bantu
mbert,true,false,false,400,2,13,fon,0.9403,Kwa
mbert,true,false,false,400,2,14,hau,0.9371,Chadic
mbert,true,false,false,400,2,15,pcm,0.9335,English Creole
mbert,true,false,false,400,2,16,mos,0.9302,Gur
mbert,true,false,false,400,2,17,wol,0.9278,Atlantic-Congo
mbert,true,false,false,400,2,18,xho,0.9261,Bantu
mbert,true,false,false,400,2,19,bbj,0.9079,Bantu
mbert,true,false,false,400,2,20,yor,0.8951,Volta-Niger
