model,config_id,use_cls,use_context,use_hybrid,max_tokens_per_type,context_window,layer,score,run_dir,csv_path,scope
xlmr,7,True,True,True,500,1,12,0.9990650700494385,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,4,True,True,False,500,1,12,0.9990650700494385,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,500,2,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,500,0,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,500,2,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,2,False,True,False,500,0,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,500,3,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,500,1,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,6,False,True,True,500,0,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,500,0,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,500,3,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_500_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,500,1,12,0.9990465419869864,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_500_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,0,12,0.9990436549458346,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,3,12,0.9990436549458346,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,6,False,True,True,400,0,12,0.9990436549458346,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_6_clsfalse_ctxtrue_hybtrue/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,1,12,0.9990436549458345,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,3,12,0.9990436549458345,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx3,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx3/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,2,12,0.9990436549458345,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,0,False,False,False,400,0,12,0.9990436549458345,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_0_clsfalse_ctxfalse_hybfalse/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,2,12,0.9990436549458345,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx2/pearson_to_run_layer12.csv,final_layer_only
xlmr,2,False,True,False,400,0,12,0.9990436549458345,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_400_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_2_clsfalse_ctxtrue_hybfalse/tokens_400_ctx0/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,400,1,12,0.9990436549458345,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_400_ctx1/pearson_to_run_layer12.csv,final_layer_only
xlmr,3,False,False,True,300,0,12,0.9989556693013254,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_3_clsfalse_ctxfalse_hybtrue/tokens_300_ctx0/pearson_to_run_layer12.csv,final_layer_only
